P,C,system:index,province,city,lat,lon,region,Urban Agglomerations,i,t,Year,Vit
913068,2789481,00000000000000000131,Sichuan,Neijiang,29.61390544,104.8854018,western,Chengdu-Chongqing,128,1,2014,0.4006
913068,2110265,00000000000000000133,Sichuan,Ngawa Tibetan and Qiang,32.37401122,102.6214595,western,Chengdu-Chongqing,138,1,2014,0.4006
913068,2785689,00000000000000000134,Sichuan,Panzhihua,26.80612908,101.7315717,western,Chengdu-Chongqing,122,1,2014,0.4006
913068,2788710,00000000000000000135,Sichuan,Suining,30.6310888,105.4705216,western,Chengdu-Chongqing,127,1,2014,0.4006
913068,2789731,00000000000000000136,Sichuan,Ya'an,29.91387,102.6615969,western,Chengdu-Chongqing,135,1,2014,0.4006
913068,2791229,00000000000000000137,Sichuan,Yibin,28.57115867,104.6360472,western,Chengdu-Chongqing,132,1,2014,0.4006
913068,2791218,00000000000000000138,Sichuan,Zigong,29.28675969,104.6835263,western,Chengdu-Chongqing,121,1,2014,0.4006
913068,2788724,00000000000000000139,Sichuan,Ziyang,30.18016295,104.9535845,western,Chengdu-Chongqing,137,1,2014,0.4006
912999,912999,0000000000000000013a,Tianjin,Tianjin,39.30846115,117.3322877,eastern,Beijing-Tianjin-Hebei,2,1,2014,0.7509
553302,3221112,00000000000000000165,Zhejiang,Hangzhou,29.90465642,119.485437,eastern,Yangtze River Delta,44,1,2014,-0.403
553302,3149738,00000000000000000166,Zhejiang,Huzhou,30.74612928,119.8707564,eastern,Yangtze River Delta,48,1,2014,-0.403
553302,3308626,00000000000000000167,Zhejiang,Jiaxing,30.65472991,120.753693,eastern,Yangtze River Delta,47,1,2014,-0.403
553302,3411720,00000000000000000168,Zhejiang,Jinhua,29.11632926,119.9533777,eastern,Yangtze River Delta,50,1,2014,-0.403
553302,3289209,00000000000000000169,Zhejiang,Lishui,28.19792698,119.5093357,eastern,Yangtze River Delta,54,1,2014,-0.403
553302,3478607,0000000000000000016a,Zhejiang,Ningbo,29.70889054,121.4758824,eastern,Yangtze River Delta,45,1,2014,-0.403
553302,3278467,0000000000000000016b,Zhejiang,Quzhou,28.93416594,118.6770226,eastern,Yangtze River Delta,51,1,2014,-0.403
553302,3316522,0000000000000000016c,Zhejiang,Shaoxing,29.71278952,120.6283202,eastern,Yangtze River Delta,49,1,2014,-0.403
553302,3477550,0000000000000000016d,Zhejiang,Taizhou,28.77583994,121.0992946,eastern,Yangtze River Delta,53,1,2014,-0.403
553302,3289341,0000000000000000016e,Zhejiang,Wenzhou,27.90185209,120.4326007,eastern,Yangtze River Delta,46,1,2014,-0.403
553302,3308121,0000000000000000016f,Zhejiang,Zhoushan,30.0554544,122.1733521,eastern,Yangtze River Delta,52,1,2014,-0.403
